"name","count"
"Crotalus pyrrhus",1818
"Crotalus oreganus helleri",1494
"Crotalus oreganus oreganus",1314
"Crotalus oreganus lutosus",1148
"Crotalus molossus molossus",1106
"Crotalus ravus",976
"Crotalus atrox",970
"Crotalus ruber",936
"Crotalus scutulatus",926
"Crotalus lepidus klauberi",898
"Crotalus viridis",783
"Crotalus cerastes",768
"Crotalus oreganus helleri Meek, 1905",708
"Crotalus tzabcan",689
"Crotalus molossus nigrescens",663
"Crotalus durissus",652
"Crotalus lepidus klauberi Gloyd, 1936",612
"Crotalus aquilus",609
"Crotalus molossus nigrescens Gloyd, 1936",609
"Crotalus stephensi",589
"Crotalus lepidus lepidus",552
"Crotalus cerastes cerastes",544
"Crotalus willardi willardi",544
"Crotalus cerberus",531
"Crotalus oreganus lutosus Klauber, 1930",499
"Crotalus triseriatus Wagler, 1830",498
"Crotalus atrox Baird & Girard, 1853",497
"Crotalus horridus Linnaeus, 1758",491
"Crotalus ornatus",491
"Crotalus ornatus Hallowell, 1854",484
"Crotalus pyrrhus (Cope, 1866)",484
"Crotalus tigris Kennicott, 1859",484
"Crotalus viridis Rafinesque, 1818",484
"Crotalus tigris",482
"Crotalus adamanteus Palisot De Beauvois, 1799",476
"Crotalus horridus",472
"Crotalus ruber Cope, 1892",470
"Crotalus adamanteus",458
"Crotalus scutulatus Kennicott, 1861",458
"Crotalus ravus Cope, 1865",452
"Crotalus pricei",448
"Crotalus cerastes laterorepens",447
"Crotalus cerastes laterorepens Klauber, 1944",443
"Crotalus scutulatus scutulatus",431
"Crotalus stephensi Klauber, 1930",430
"Crotalus basiliscus (Cope, 1864)",429
"Crotalus basiliscus",425
"Crotalus durissus Linnaeus, 1758",420
"Crotalus mitchellii (Cope, 1861)",407
"Crotalus pricei pricei",392
"Crotalus molossus",390
"Crotalus cerastes Hallowell, 1854",380
"Crotalus culminatus",370
"Crotalus enyo Cope, 1861",365
"Crotalus lepidus",356
"Crotalus simus Latreille, 1801",334
"Crotalus aquilus Klauber, 1952",324
"Crotalus viridis viridis",306
"Crotalus triseriatus",304
"Crotalus oreganus concolor",295
"Crotalus pricei Van Denburgh, 1895",290
"Crotalus ruber ruber",290
"Crotalus enyo",284
"Crotalus tzabcan Klauber, 1952",284
"Crotalus oreganus concolor Woodbury, 1929",283
"Crotalus polystictus (Cope, 1865)",250
"Crotalus tortugensis Van Denburgh & Slevin, 1921",227
"Crotalus simus",202
"Crotalus willardi",202
"Crotalus willardi Meek, 1905",202
"Crotalus cerastes cercobombus",195
"Crotalus cerastes cercobombus Savage & Cliff, 1953",187
"Crotalus polystictus",187
"Crotalus morulus",185
"Crotalus lepidus Kennicott, 1861",172
"Crotalus oreganus",166
"Crotalus enyo enyo",155
"Crotalus totonacus",155
"Crotalus molossus Baird & Girard, 1853",149
"Crotalus durissus durissus",144
"Crotalus pricei miquihuanus",141
"Crotalus armstrongi",140
"Crotalus durissus terrificus (Laurenti, 1768)",139
"Crotalus durissus terrificus",134
"Crotalus ruber lucasensis Van Denburgh, 1920",134
"Crotalus molossus oaxacus",131
"Crotalus culminatus Klauber, 1952",124
"Crotalus willardi silus",120
"Crotalus ruber lucasensis",119
"Crotalus intermedius",112
"Crotalus catalinensis Cliff, 1954",101
"Crotalus intermedius intermedius",98
"Crotalus molossus oaxacus Gloyd, 1948",98
"Crotalus intermedius Troschel, 1865",92
"Crotalus durissus cumanensis",89
"Crotalus morulus Klauber, 1952",88
"Crotalus transversus",84
"Crotalus transversus Taylor, 1944",83
"Crotalus ehecatl",77
"Crotalus willardi silus Klauber, 1949",77
"Crotalus catalinensis",76
"Crotalus pricei miquihuanus Gloyd, 1940",74
"Crotalus totonacus Gloyd & Kauffeld, 1940",74
"Crotalus durissus tzabcan Klauber, 1952",73
"Crotalus pusillus Klauber, 1952",72
