WKT,name,prov,date,key
"POINT (-97.729508 30.18225)",Crotalus atrox,gbif,2024/01/18,4516461565
"POINT (-97.364288 26.26273)",Crotalus atrox,gbif,2024/01/14,4519103858
"POINT (-98.818505 30.50077)",Crotalus atrox,gbif,2024/01/13,4522798389
"POINT (-97.658335 30.298947)",Crotalus atrox,gbif,2024/01/28,4535908812
"POINT (-97.746339 30.387097)",Crotalus atrox,gbif,2024/01/28,4535676835
"POINT (-97.326768 27.668065)",Crotalus atrox,gbif,2024/02/08,4522669236
"POINT (-98.298547 29.169737)",Crotalus atrox,gbif,2024/02/10,4522730624
"POINT (-104.229842 32.130729)",Crotalus atrox,gbif,2024/02/09,4522725050
"POINT (-104.254624 32.046397)",Crotalus atrox,gbif,2024/02/09,4522731886
"POINT (-104.264383 32.125863)",Crotalus atrox,gbif,2024/02/09,4522767978
"POINT (-104.213191 32.015224)",Crotalus atrox,gbif,2024/02/09,4522748022
"POINT (-98.30571 26.91069)",Crotalus atrox,gbif,2024/02/10,4522778028
"POINT (-111.088182 32.479935)",Crotalus atrox,gbif,2024/02/12,4522817120
"POINT (-98.805756 29.532104)",Crotalus atrox,gbif,2024/02/08,4522767172
"POINT (-99.159608 29.135116)",Crotalus atrox,gbif,2024/02/11,4525078361
"POINT (-97.295958 26.093211)",Crotalus atrox,gbif,2024/02/15,4525145801
"POINT (-97.083283 27.834436)",Crotalus atrox,gbif,2024/02/22,4528281884
"POINT (-96.993547 30.038648)",Crotalus atrox,gbif,2024/02/22,4528289901
"POINT (-97.781306 30.314872)",Crotalus atrox,gbif,2024/02/24,4528105591
"POINT (-116.075793 33.693049)",Crotalus atrox,gbif,2024/02/24,4528084591
"POINT (-97.715463 30.357753)",Crotalus atrox,gbif,2024/02/25,4528325961
"POINT (-111.950562 33.888787)",Crotalus atrox,gbif,2024/02/25,4528348190
"POINT (-111.004022 31.570157)",Crotalus atrox,gbif,2024/02/26,4528087290
"POINT (-115.91651 33.50287)",Crotalus atrox,gbif,2024/02/24,4528087295
"POINT (-96.801278 28.241004)",Crotalus atrox,gbif,2024/02/25,4528367333
"POINT (-110.814864 32.309597)",Crotalus atrox,gbif,2024/02/27,4528366533
"POINT (-97.080886 27.825363)",Crotalus atrox,gbif,2024/02/27,4528393453
"POINT (-97.643856 30.258469)",Crotalus atrox,gbif,2024/02/27,4535689364
"POINT (-97.717043 30.217023)",Crotalus atrox,gbif,2024/02/27,4535929312
"POINT (-111.049744 31.568597)",Crotalus atrox,gbif,2024/02/27,4535672373
"POINT (-111.471804 33.456195)",Crotalus atrox,gbif,2024/02/29,4535950851
"POINT (-115.836893 33.530766)",Crotalus atrox,gbif,2024/02/24,4535736471
"POINT (-115.91638 33.502605)",Crotalus atrox,gbif,2024/02/24,4535960729
"POINT (-115.915795 33.503485)",Crotalus atrox,gbif,2024/02/24,4599974050
"POINT (-98.758486 20.589274)",Crotalus atrox,gbif,2024/02/22,4867797576
"POINT (-98.21111 27.657461)",Crotalus atrox,gbif,2024/03/01,4535893043
"POINT (-98.212197 27.66098)",Crotalus atrox,gbif,2024/03/01,4535910244
"POINT (-111.226851 32.434207)",Crotalus atrox,gbif,2024/03/03,4535983760
"POINT (-110.816187 32.30933)",Crotalus atrox,gbif,2024/03/03,4535978783
"POINT (-98.115694 30.431213)",Crotalus atrox,gbif,2024/03/02,4535966017
"POINT (-98.21122 32.245342)",Crotalus atrox,gbif,2024/03/04,4535748220
"POINT (-97.696289 30.203467)",Crotalus atrox,gbif,2024/03/04,4535722125
"POINT (-111.638822 33.170533)",Crotalus atrox,gbif,2024/03/05,4535818498
"POINT (-111.717138 33.980055)",Crotalus atrox,gbif,2024/03/05,4597300978
"POINT (-96.584483 28.953423)",Crotalus atrox,gbif,2024/03/06,4597291080
"POINT (-97.652283 30.637578)",Crotalus atrox,gbif,2024/03/06,4597288282
"POINT (-97.353455 26.170647)",Crotalus atrox,gbif,2024/03/07,4597337537
"POINT (-112.881213 31.912794)",Crotalus atrox,gbif,2024/03/07,4597266580
"POINT (-111.649045 33.578828)",Crotalus atrox,gbif,2024/03/08,4597332841
"POINT (-95.404755 28.932875)",Crotalus atrox,gbif,2024/03/09,4596873149
"POINT (-103.429293 29.163222)",Crotalus atrox,gbif,2024/03/07,4597370297
"POINT (-112.050148 33.771393)",Crotalus atrox,gbif,2024/03/10,4596955512
"POINT (-112.162672 33.73744)",Crotalus atrox,gbif,2024/03/10,4596995019
