WKT,name,prov,date,key
"POINT (-115.351313 35.458603)",Crotalus scutulatus,gbif,2024/01/17,4516574292
"POINT (-112.726534 33.307198)",Crotalus scutulatus,gbif,2024/02/28,4535639623
"POINT (-116.70453 34.41876)",Crotalus scutulatus,gbif,2024/03/17,4597175697
"POINT (-118.35732 34.612708)",Crotalus scutulatus,gbif,2024/03/21,4599865294
"POINT (-116.704523 34.418699)",Crotalus scutulatus,gbif,2024/03/17,4600058531
"POINT (-117.658369 35.375469)",Crotalus scutulatus,gbif,2024/03/21,4599805646
"POINT (-118.367745 34.732113)",Crotalus scutulatus,gbif,2024/03/21,4606929082
"POINT (-118.29729 34.611671)",Crotalus scutulatus,gbif,2024/03/21,4606705373
"POINT (-117.837818 34.469748)",Crotalus scutulatus,gbif,2024/03/28,4606626898
"POINT (-116.155258 34.095847)",Crotalus scutulatus,gbif,2024/03/29,4606972376
"POINT (-106.094571 30.584582)",Crotalus scutulatus,gbif,2024/03/27,4607199959
"POINT (-118.174229 34.727043)",Crotalus scutulatus,gbif,2024/03/06,4852971609
"POINT (-116.282923 34.194192)",Crotalus scutulatus,gbif,2024/04/06,4607418257
"POINT (-103.61445 25.630918)",Crotalus scutulatus,gbif,2024/04/07,4607599140
"POINT (-103.605942 25.695262)",Crotalus scutulatus,gbif,2024/04/07,4607155092
"POINT (-114.078072 32.413082)",Crotalus scutulatus,gbif,2024/04/02,4607396563
"POINT (-117.436172 34.548803)",Crotalus scutulatus,gbif,2024/04/09,4607454651
"POINT (-106.117645 28.610166)",Crotalus scutulatus,gbif,2024/04/10,4846994472
"POINT (-116.282921 34.194197)",Crotalus scutulatus,gbif,2024/04/11,4847109224
"POINT (-115.44753 36.080567)",Crotalus scutulatus,gbif,2024/04/02,4846834143
"POINT (-118.343479 34.710596)",Crotalus scutulatus,gbif,2024/04/03,4846822446
"POINT (-118.387578 34.682744)",Crotalus scutulatus,gbif,2024/04/03,4846957727
"POINT (-118.368577 34.731019)",Crotalus scutulatus,gbif,2024/04/13,4846840376
"POINT (-112.120254 33.737627)",Crotalus scutulatus,gbif,2024/04/13,4847038368
"POINT (-111.201135 32.662726)",Crotalus scutulatus,gbif,2024/04/11,4847256584
"POINT (-114.984207 35.837395)",Crotalus scutulatus,gbif,2024/04/16,4852732087
"POINT (-118.447522 34.876369)",Crotalus scutulatus,gbif,2024/04/07,4851761058
"POINT (-117.925205 35.060304)",Crotalus scutulatus,gbif,2024/04/19,4852860907
"POINT (-115.703597 35.488758)",Crotalus scutulatus,gbif,2024/04/21,4853004866
"POINT (-118.204028 34.708541)",Crotalus scutulatus,gbif,2024/04/23,4853011640
"POINT (-118.269255 34.729332)",Crotalus scutulatus,gbif,2024/04/23,4852967888
"POINT (-118.270095 34.625754)",Crotalus scutulatus,gbif,2024/04/23,4852942900
"POINT (-115.497337 35.282958)",Crotalus scutulatus,gbif,2024/04/24,4852977415
"POINT (-103.52613 29.370983)",Crotalus scutulatus,gbif,2024/04/25,4852040145
"POINT (-111.698641 33.719906)",Crotalus scutulatus,gbif,2024/04/25,4852997976
"POINT (-117.862184 35.308929)",Crotalus scutulatus,gbif,2024/04/25,4853074187
"POINT (-116.829151 34.488762)",Crotalus scutulatus,gbif,2024/04/29,4852595748
"POINT (-115.638178 34.863444)",Crotalus scutulatus,gbif,2024/04/29,4851990031
"POINT (-115.638222 34.863492)",Crotalus scutulatus,gbif,2024/04/29,4855548651
"POINT (-117.881163 35.027458)",Crotalus scutulatus,gbif,2024/04/29,4855548928
"POINT (-115.638222 34.863492)",Crotalus scutulatus,gbif,2024/04/29,4855052674
"POINT (-103.512708 30.116473)",Crotalus scutulatus,gbif,2024/04/19,4855156667
"POINT (-118.562418 34.768185)",Crotalus scutulatus,gbif,2024/04/28,4855388674
"POINT (-116.352287 34.075612)",Crotalus scutulatus,gbif,2024/04/29,4855520808
"POINT (-118.236057 34.620818)",Crotalus scutulatus,gbif,2024/04/30,4854828860
"POINT (-115.270218 35.772522)",Crotalus scutulatus,gbif,2024/05/02,4855457542
"POINT (-111.877333 34.736163)",Crotalus scutulatus,gbif,2024/05/04,4854952442
"POINT (-109.118033 32.233387)",Crotalus scutulatus,gbif,2024/05/05,4855020936
"POINT (-115.641228 34.769042)",Crotalus scutulatus,gbif,2024/05/08,4863736397
"POINT (-112.060661 33.754713)",Crotalus scutulatus,gbif,2024/05/08,4863469574
"POINT (-112.061233 33.75475)",Crotalus scutulatus,gbif,2024/05/08,4863355087
"POINT (-112.218349 34.682939)",Crotalus scutulatus,gbif,2024/05/09,4863343499
"POINT (-118.197379 34.911493)",Crotalus scutulatus,gbif,2024/05/08,4863747363
"POINT (-103.061128 30.344055)",Crotalus scutulatus,gbif,2024/05/14,4867880220
"POINT (-103.291632 30.313978)",Crotalus scutulatus,gbif,2024/05/14,4867644573
"POINT (-111.624428 33.343688)",Crotalus scutulatus,gbif,2024/05/15,4867816629
"POINT (-117.835804 34.45864)",Crotalus scutulatus,gbif,2024/05/13,4867943475
"POINT (-113.980188 37.105998)",Crotalus scutulatus,gbif,2024/05/15,4868160177
"POINT (-111.13947 32.19513)",Crotalus scutulatus,gbif,2024/05/15,4867743217
"POINT (-116.212492 34.141548)",Crotalus scutulatus,gbif,2024/05/15,4868003641
