"name","count"
"Crotalus oreganus",5936
"Crotalus molossus",3150
"Crotalus cerastes",2964
"Crotalus lepidus",2643
"Crotalus pyrrhus",2302
"Crotalus ruber",1963
"Crotalus scutulatus",1918
"Crotalus durissus",1809
"Crotalus viridis",1668
"Crotalus atrox",1467
"Crotalus ravus",1435
"Crotalus pricei",1345
"Crotalus willardi",1310
"Crotalus stephensi",1019
"Crotalus ornatus",975
"Crotalus tzabcan",973
"Crotalus tigris",966
"Crotalus horridus",963
"Crotalus adamanteus",934
"Crotalus aquilus",933
"Crotalus triseriatus",895
"Crotalus basiliscus",868
"Crotalus enyo",846
"Crotalus mitchellii",545
"Crotalus simus",537
"Crotalus cerberus",531
"Crotalus culminatus",494
"Crotalus intermedius",471
"Crotalus polystictus",437
"Crotalus morulus",273
"Crotalus totonacus",229
"Crotalus tortugensis",227
"Crotalus armstrongi",189
"Crotalus catalinensis",177
"Crotalus transversus",167
"Crotalus ehecatl",136
"Crotalus campbelli",106
"Crotalus pusillus",94
"Crotalus mictlantecuhtli",83
"Sistrurus ravus",82
"Crotalus angelensis",79
"Crotalus unicolor",64
"Crotalus tlaloci",62
"Crotalus brunneus",48
"Crotalus stejnegeri",30
"Crotalus lannomi",11
"Crotalus tancitarensis",11
"Crotalus estebanensis",9
NA,9
"Crotalus vegrandis",8
"Crotalus ericsmithi",7
"Crotalus polisi",4
"Crotalus thalassoporus",4
"Crotalus exiguus",3
"Crotalus lorenzoensis",2
